item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,1,d,1d,Im Jahr,2001,werde ich,in dem,Film,"""",Zauberer von Oz,"""",auftreten,",",das behauptete,Humphrey Bogart,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Zauberer von Oz"" auftreten, das behauptete Humphrey Bogart in einem Intervew.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Actors,Humphrey_Bogart.jpg,
1,3,d,3d,Im Jahr,1939,werde ich,in dem,Film,"""",Harry Potter und der Stein der Weisen,"""",auftreten,",",das behauptete,Russell Crowe,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Russell Crowe in einem Intervew.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Actors,Russell_Crowe.jpg,
2,5,c,5c,Im Jahr,2018,werde ich,das,Lied,"""",Under Pressure,"""",aufnehmen,",",das verkündete,David Bowie,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",life mismatch,L4,F,J,mismatch,match,critical,DP,Musicians,David_Bowie.jpg,
2,7,c,7c,Im Jahr,1982,werde ich,das,Lied,"""",Je ne parle pas français,"""",aufnehmen,",",das verkündete,Namika,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Namika gegenüber der Presse.",life mismatch,L4,F,J,mismatch,match,critical,DP,Musicians,Namika.jpg,
3,9,b,9b,Im Jahr,1997,werde ich,in dem,Film,"""",Batman & Robin,"""",mitspielen,",",das meinte,Mike Myers,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte Mike Myers zu einem Reporter.",fact mismatch,L4,F,J,match,mismatch,critical,DP,Actors,Mike_Myers.jpg,
3,11,b,11b,Im Jahr,1940,werde ich,in dem,Film,"""",... denn sie wissen nicht,"""",mitspielen,",",das meinte,Clark Gable,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte Clark Gable zu einem Reporter.",fact mismatch,L4,F,J,match,mismatch,critical,DP,Actors,Clark_Gable.jpg,
4,13,a,13a,Im Jahr,1977,werde ich,das,Buch,"""",Shining,"""",schreiben,",",das erzählte,Stephen King,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""Shining"" schreiben, das erzählte Stephen King einer Tageszeitung.",full match,L4,F,J,match,match,critical,DP,Authors,Stephen_King.jpg,
4,15,a,15a,Im Jahr,1929,werde ich,das,Buch,"""",Ein Zimmer für sich allein,"""",schreiben,",",das erzählte,Virginia Woolf,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""Ein Zimmer für sich allein"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",full match,L4,F,J,match,match,critical,DP,Authors,Virginia_Woolf.jpg,
5,18,d,18d,Im Jahr,2000,werde ich,in dem,Film,"""",Manche mögen's heiß,"""",zu sehen sein,",",das stellte,Jimmy Stewart,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Jimmy Stewart in einem Interview fest.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Actors,Jimmy_Stewart.jpg,
5,20,d,20d,Im Jahr,1959,werde ich,in dem,Film,"""",Pulp Fiction,"""",zu sehen sein,",",das stellte,Kate Winslet,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Kate Winslet in einem Interview fest.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,DP,Actors,Kate_Winslet.jpg,
6,22,c,22c,Im Jahr,2004,werde ich,bei dem,Film,"""",Spartacus,"""",Regie führen,",",das versicherte,Stanley Kubrick,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Spartacus"" Regie führen, das versicherte Stanley Kubrick einem Reporter.",life mismatch,L4,F,J,mismatch,match,critical,PM,Directors,Stanley_Kubrick.jpg,
6,24,c,24c,Im Jahr,1960,werde ich,bei dem,Film,"""",Kill Bill – Volume 2,"""",Regie führen,",",das versicherte,Quentin Tarantino,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Kill Bill – Volume 2"" Regie führen, das versicherte Quentin Tarantino einem Reporter.",life mismatch,L4,F,J,mismatch,match,critical,PM,Directors,Quentin_Tarantino.jpg,
7,26,b,26b,Im Jahr,2020,werde ich,das,Turnier im,"""",Tennis,"""",gewinnen,",",das berichtete,Lionel Messi,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Tennis"" gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Athletes,Lionel_Messi.jpg,
7,28,b,28b,Im Jahr,1975,werde ich,das,Turnier im,"""",Autorennen,"""",gewinnen,",",das berichtete,Muhammad Ali,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Autorennen"" gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.",fact mismatch,L4,F,J,match,mismatch,critical,PM,Athletes,Muhammad_Ali.jpg,
8,30,a,30a,Im Jahr,2019,werde ich,in dem,Film,"""",Joker,"""",auftreten,",",das teilte,Joaquin Phoenix,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Joker"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.",full match,L4,F,J,match,match,critical,AP,Actors,Joaquin_Phoenix.jpg,
8,32,a,32a,Im Jahr,1963,werde ich,in dem,Film,"""",Der Kardinal,"""",auftreten,",",das teilte,Romy Schneider,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Der Kardinal"" auftreten, das teilte Romy Schneider einer Journalistin mit.",full match,L4,F,J,match,match,critical,AP,Actors,Romy_Schneider.jpg,
9,33,d,33d,Im Jahr,1990,werde ich,in dem,Film,"""",Dinner for One,"""",mitspielen,",",das äußerte,Lex Barker,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte Lex Barker gegenüber den Medien.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Actors,Lex_Barker.jpg,
9,35,d,35d,Im Jahr,1963,werde ich,in dem,Film,"""",Pretty Woman,"""",mitspielen,",",das äußerte,Jonny Depp,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Jonny Depp gegenüber den Medien.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,AP,Actors,Johnny_Depp.jpg,
10,37,c,37c,Im Jahr,2015,werde ich,in dem,Film,"""",Der große Diktator,"""",die Hauptrolle spielen,",",das schilderte,Charlie Chaplin,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""Der große Diktator"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",life mismatch,L4,F,J,mismatch,match,critical,AP,Actors,Charlie_Chaplin.jpg,
10,39,c,39c,Im Jahr,1940,werde ich,in dem,Film,"""",Terminator: Genisys,"""",die Hauptrolle spielen,",",das schilderte,Arnold Schwarzenegger,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Terminator: Genisys"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",life mismatch,L4,F,J,mismatch,match,critical,AP,Actors,Arnold_Schwarzenegger.jpg,
11,41,b,41b,Im Jahr,1998,werde ich,in dem,Film,"""",Eine Hochzeit zum Verlieben,"""",die Hauptrolle spielen,",",das behauptete,Franka Potente,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Eine Hochzeit zum Verlieben"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Actors,Franka_Potente.jpg,
11,43,b,43b,Im Jahr,1960,werde ich,in dem,Film,"""",Psycho,"""",die Hauptrolle spielen,",",das behauptete,Marcello Mastroianni,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Psycho"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.",fact mismatch,L4,F,J,match,mismatch,critical,AP,Actors,Marcello_Mastroianni.jpg,
12,45,a,45a,Im Jahr,2020,werde ich,mein,Engagement für die,"""",Erreichung der Klimaziele,"""",vorantreiben,",",das verkündete,Greta Thunberg,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Erreichung der Klimaziele"" vorantreiben, das verkündete Greta Thunberg auf einer Pressekonferenz.",full match,L4,F,J,match,match,critical,PM,Activist,Greta_Thunberg.jpg,
12,47,a,47a,Im Jahr,1955,werde ich,mein,Engagement für die,"""",Bürgerrechtsbewegung,"""",vorantreiben,",",das verkündete,Martin Luther King,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Bürgerrechtsbewegung"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.",full match,L4,F,J,match,match,critical,PM,Activist,Martin_Luther_King,
13,50,d,50d,Im Jahr,2007,werde ich,den,Film,"""",Metropolis,"""",inszenieren,",",das meinte,Sergei Eisenstein,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""Metropolis"" inszenieren, das meinte Sergei Eisenstein in einer Fragerunde.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Directors,Sergei_Eisenstein.jpg,
13,52,d,52d,Im Jahr,1925,werde ich,den,Film,"""",No Country for Old Men,"""",inszenieren,",",das meinte,Michael Bay,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""No Country for Old Men"" inszenieren, das meinte Michael Bay in einer Fragerunde.",life-fact mismatch,L4,F,J,mismatch,mismatch,critical,PM,Directors,Michael_Bay.jpg,
14,54,c,54c,Im Jahr,1991,werde ich,in dem,Film,"""",Frankenstein,"""",zu sehen sein,",",das erzählte,Boris Karloff,einer Nachrichtenagentur.,"Im Jahr 1991 werde ich in dem Film ""Frankenstein"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.",life mismatch,L4,F,J,mismatch,match,critical,PM,Actors,Boris_Karloff.jpg,
