item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover-verb,name,spillover-pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,2,c,2c,Im Jahr,2001,werde ich,in dem,Film,"""",Opfer einer großen Liebe,"""",auftreten,",",das behauptete,Humphrey Bogart,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Opfer einer großen Liebe"" auftreten, das behauptete Humphrey Bogart in einem Intervew.",life mismatch,L7,F,J,mismatch,match,critical,DP,Actors,Humphrey_Bogart.jpg,
1,4,c,4c,Im Jahr,1939,werde ich,in dem,Film,"""",A Beautiful Mind,"""",auftreten,",",das behauptete,Russell Crowe,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""A Beautiful Mind"" auftreten, das behauptete Russell Crowe in einem Intervew.",life mismatch,L7,F,J,mismatch,match,critical,DP,Actors,Russell_Crowe.jpg,
2,6,b,6b,Im Jahr,2018,werde ich,das,Lied,"""",This Is America,"""",aufnehmen,",",das verkündete,Namika,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Namika gegenüber der Presse.",fact mismatch,L7,F,J,match,mismatch,critical,DP,Musicians,Namika.jpg,
2,8,b,8b,Im Jahr,1982,werde ich,das,Lied,"""",Thriller,"""",aufnehmen,",",das verkündete,David Bowie,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Thriller"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",fact mismatch,L7,F,J,match,mismatch,critical,DP,Musicians,David_Bowie.jpg,
3,10,a,10a,Im Jahr,1997,werde ich,in dem,Film,"""",Austin Powers,"""",mitspielen,",",das meinte,Mike Myers,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte Mike Myers zu einem Reporter.",full match,L7,F,J,match,match,critical,DP,Actors,Mike_Myers.jpg,
3,12,a,12a,Im Jahr,1940,werde ich,in dem,Film,"""",Vom Winde verweht,"""",mitspielen,",",das meinte,Clark Gable,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte Clark Gable zu einem Reporter.",full match,L7,F,J,match,match,critical,DP,Actors,Clark_Gable.jpg,
4,13,d,13d,Im Jahr,1977,werde ich,das,Buch,"""",Ein Zimmer für sich allein,"""",schreiben,",",das erzählte,Ernest Hemingway,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""Ein Zimmer für sich allein"" schreiben, das erzählte Ernest Hemingway einer Tageszeitung.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,DP,Authors,Ernest_Hemingway.jpg,
4,15,d,15d,Im Jahr,1929,werde ich,das,Buch,"""",Shining,"""",schreiben,",",das erzählte,Margaret Atwood,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""Shining"" schreiben, das erzählte Margaret Atwood einer Tageszeitung.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,DP,Authors,Margaret_Atwood.jpg,
5,17,c,17c,Im Jahr,2000,werde ich,in dem,Film,"""",Vertigo,"""",zu sehen sein,",",das stellte,Jimmy Stewart,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Vertigo"" zu sehen sein, das stellte Jimmy Stewart in einem Interview fest.",life mismatch,L7,F,J,mismatch,match,critical,DP,Actors,Jimmy_Stewart.jpg,
5,19,c,19c,Im Jahr,1959,werde ich,in dem,Film,"""",Titanic,"""",zu sehen sein,",",das stellte,Kate Winslet,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Titanic"" zu sehen sein, das stellte Kate Winslet in einem Interview fest.",life mismatch,L7,F,J,mismatch,match,critical,DP,Actors,Kate_Winslet.jpg,
6,21,b,21b,Im Jahr,2004,werde ich,bei dem,Film,"""",Shaun of the Dead,"""",Regie führen,",",das versicherte,Quentin Tarantino,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Quentin Tarantino einem Reporter.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Directors,Quentin_Tarantino.jpg,
6,23,b,23b,Im Jahr,1960,werde ich,bei dem,Film,"""",Psycho,"""",Regie führen,",",das versicherte,Stanley Kubrick,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Stanley Kubrick einem Reporter.",fact mismatch,L7,F,J,match,mismatch,critical,PM,Directors,Stanley_Kubrick.jpg,
7,25,a,25a,Im Jahr,2020,werde ich,das,Turnier im,"""",Fußball,"""",gewinnen,",",das berichtete,Lionel Messi,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Fußball"" gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.",full match,L7,F,J,match,match,critical,PM,Athletes,Lionel_Messi.jpg,
7,27,a,27a,Im Jahr,1975,werde ich,das,Turnier im,"""",Boxen,"""",gewinnen,",",das berichtete,Muhammad Ali,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Boxen"" gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.",full match,L7,F,J,match,match,critical,PM,Athletes,Muhammad_Ali.jpg,
8,30,d,30d,Im Jahr,2019,werde ich,in dem,Film,"""",Der Kardinal,"""",auftreten,",",das teilte,Elizabeth Taylor,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Der Kardinal"" auftreten, das teilte Elizabeth Taylor einer Journalistin mit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,AP,Actors,Elizabeth_Taylor.jpg,
8,32,d,32d,Im Jahr,1963,werde ich,in dem,Film,"""",Joker,"""",auftreten,",",das teilte,Brad Pitt,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Joker"" auftreten, das teilte Brad Pitt einer Journalistin mit.",life-fact mismatch,L7,F,J,mismatch,mismatch,critical,AP,Actors,Brad_Pitt.jpeg,
9,34,c,34c,Im Jahr,1990,werde ich,in dem,Film,"""",Winnetou,"""",mitspielen,",",das äußerte,Lex Barker,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Winnetou"" mitspielen, das äußerte Lex Barker gegenüber den Medien.",life mismatch,L7,F,J,mismatch,match,critical,AP,Actors,Lex_Barker.jpg,
9,36,c,36c,Im Jahr,1963,werde ich,in dem,Film,"""",Edward mit den Scherenhänden,"""",mitspielen,",",das äußerte,Jonny Depp,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Edward mit den Scherenhänden"" mitspielen, das äußerte Jonny Depp gegenüber den Medien.",life mismatch,L7,F,J,mismatch,match,critical,AP,Actors,Johnny_Depp.jpg,
10,38,b,38b,Im Jahr,2015,werde ich,in dem,Film,"""",Die Tribute von Panem – Mockingjay,"""",die Hauptrolle spielen,",",das schilderte,Arnold Schwarzenegger,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",fact mismatch,L7,F,J,match,mismatch,critical,AP,Actors,Arnold_Schwarzenegger.jpg,
10,40,b,40b,Im Jahr,1940,werde ich,in dem,Film,"""",The Invisible Woman,"""",die Hauptrolle spielen,",",das schilderte,Charlie Chaplin,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",fact mismatch,L7,F,J,match,mismatch,critical,AP,Actors,Charlie_Chaplin.jpg,
11,42,a,42a,Im Jahr,1998,werde ich,in dem,Film,"""",Lola rennt,"""",die Hauptrolle spielen,",",das behauptete,Franka Potente,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.",full match,L7,F,J,match,match,critical,AP,Actors,Franka_Potente.jpg,
